date,title,type,category
"Apr 26, 2017",Review of Designations Under the Antiquities Act,Executive Orders,Administrative work
"Apr 26, 2017",Enforcing Statutory Prohibitions on Federal Control of Education,Executive Orders,Administrative work
"Apr 25, 2017",Promoting Agriculture and Rural Prosperity in America,Executive Orders,Economy
"Apr 21, 2017",Identifying and Reducing Tax Regulatory Burdens,Executive Orders,Economy
"Apr 18, 2017",Buy American and Hire American,Executive Orders,Economy
"Mar 31, 2017",Omnibus Report on Significant Trade Deficits,Executive Orders,Economy
"Mar 31, 2017",Establishing Enhanced Collection and Enforcement of Antidumping and Countervailing Duties and Violations of Trade and Customs Laws,Executive Orders,Economy
"Mar 31, 2017",Providing an Order of Succession Within the Department of Justice,Executive Orders,Administrative work
"Mar 29, 2017",Establishing the President's Commission on Combating Drug Addiction and the Opioid Crisis,Executive Orders,Health care
"Mar 28, 2017",Promoting Energy Independence and Economic Growth,Executive Orders,Energy
"Mar 27, 2017",Revocation of Federal Contracting Executive Orders,Executive Orders,Labor/Immigration
"Mar 13, 2017",Comprehensive Plan for Reorganizing the Executive Branch,Executive Orders,Administrative work
"Mar 6, 2017",Protecting the Nation From Foreign Terrorist Entry Into the United States,Executive Orders,National security
"Feb 28, 2017","Restoring the Rule of Law, Federalism, and Economic Growth by Reviewing the ""Waters of the United States"" Rule",Executive Orders,Energy
"Feb 28, 2017",White House Initiative To Promote Excellence and Innovation at Historically Black Colleges and Universities,Executive Orders,Events
"Feb 24, 2017",Enforcing the Regulatory Reform Agenda,Executive Orders,Administrative work
"Feb 9, 2017",Task Force on Crime Reduction and Public Safety,Executive Orders,Criminal justice
"Feb 9, 2017","Preventing Violence Against Federal, State, Tribal, and Local Law Enforcement Officers",Executive Orders,Criminal justice
"Feb 9, 2017",Enforcing Federal Law With Respect to Transnational Criminal Organizations and Preventing International Trafficking,Executive Orders,National security
"Feb 9, 2017",Providing an Order of Succession Within the Department of Justice,Executive Orders,Administrative work
"Feb 3, 2017",Core Principles for Regulating the United States Financial System,Executive Orders,Economy
"Jan 30, 2017",Reducing Regulation and Controlling Regulatory Costs,Executive Orders,Economy
"Jan 28, 2017",Ethics Commitments by Executive Branch Appointees,Executive Orders,Administrative work
"Jan 27, 2017",Protecting the Nation From Foreign Terrorist Entry Into the United States,Executive Orders,National security
"Jan 25, 2017",Border Security and Immigration Enforcement Improvements,Executive Orders,Labor/Immigration
"Jan 25, 2017",Enhancing Public Safety in the Interior of the United States,Executive Orders,Labor/Immigration
"Jan 24, 2017",Expediting Environmental Reviews and Approvals for High-Priority Infrastructure Projects,Executive Orders,Energy
"Jan 20, 2017",Minimizing the Economic Burden of the Patient Protection and Affordable Care Act Pending Repeal,Executive Orders,Health care
"Jun 30, 2017","Pledge to America's Workers Month, 2020",Proclamations,Events
"Jan 15, 2017","Religious Freedom Day, 2020",Proclamations,Events
"Jan 17, 2017","Martin Luther King, Jr., Federal Holiday, 2020",Proclamations,Events
"Jan 21, 2017","National Sanctity of Human Life Day, 2020",Proclamations,Events
"Jan 23, 2020",To Further Facilitate Positive Adjustment to Competition From Imports of Large Residential Washers,Proclamations,Economy
"Jan 24, 2020",Adjusting Imports of Derivative Aluminum Articles and Derivative Steel Articles Into the United States,Proclamations,Economy
"Jan 24, 2020","National Day of Remembrance of the 75th Anniversary of the Liberation of Auschwitz, 2020",Proclamations,Events
"Jan 24, 2020","National School Choice Week, 2020",Proclamations,Events
"Jan 31, 2020",Improving Enhanced Vetting Capabilities and Processes for Detecting Attempted Entry Into the United States by Terrorists or Other Public-Safety Threats,Proclamations,National security
"Jan 31, 2020",Suspension of Entry as Immigrants and Nonimmigrants of Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus and Other Appropriate Measures To Address This Risk,Proclamations,Labor/Immigration
"Jan 31, 2020","American Heart Month, 2020",Proclamations,Events
"Jan 31, 2020","National African American History Month, 2020",Proclamations,Events
"Feb 28, 2020","American Red Cross Month, 2020",Proclamations,Events
"Feb 28, 2020","Irish-American Heritage Month, 2020",Proclamations,Events
"Feb 28, 2020","Women's History Month, 2020",Proclamations,Events
"Feb 28, 2020","National Consumer Protection Week, 2020",Proclamations,Events
"Feb 29, 2020",Suspension of Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus,Proclamations,Labor/Immigration
"Mar 11, 2020",Suspension of Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus,Proclamations,Labor/Immigration
"Mar 13, 2020",Declaring a National Emergency Concerning the Novel Coronavirus Disease (COVID-19) Outbreak,Proclamations,National security
"Mar 13, 2020","National Poison Prevention Week, 2020",Proclamations,Events
"Mar 14, 2020",Suspension of Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus,Proclamations,Labor/Immigration
"Mar 14, 2020",National Day of Prayer for All Americans Affected by the Coronavirus Pandemic and for Our National Response Efforts,Proclamations,Events
"Mar 23, 2020","National Agriculture Day, 2020",Proclamations,Events
"Mar 24, 2020","Greek Independence Day: A National Day of Celebration of Greek and American Democracy, 2020",Proclamations,Events
"Mar 30, 2020","National Doctors Day, 2020",Proclamations,Events
"Mar 31, 2020","Cancer Control Month, 2020",Proclamations,Events
"Mar 31, 2020","National Child Abuse Prevention Month, 2020",Proclamations,Events
"Mar 31, 2020","National Donate Life Month, 2020",Proclamations,Events
"Mar 31, 2020","National Sexual Assault Awareness and Prevention Month, 2020",Proclamations,Events
"Mar 31, 2020","Second Chance Month, 2020",Proclamations,Events
"Apr 1, 2020","World Autism Awareness Day, 2020",Proclamations,Events
"Apr 3, 2020","Education and Sharing Day, U.S.A., 2020",Proclamations,Events
"Apr 8, 2020","National Former Prisoner of War Recognition Day, 2020",Proclamations,Events
"Apr 13, 2020","Pan American Day and Pan American Week, 2020",Proclamations,Events
"Apr 17, 2020","National Crime Victims' Rights Week, 2020",Proclamations,Events
"Apr 17, 2020","National Park Week, 2020",Proclamations,Events
"Apr 17, 2020","National Volunteer Week, 2020",Proclamations,Events
"Apr 17, 2020","Days of Remembrance of Victims of the Holocaust, 2020",Proclamations,Events
