date,title,president,type,category,Category ideas?
01-15-2017,"Religious Freedom Day, 2020",Donald J. Trump,Proclamations,Events,
01-17-2017,"Martin Luther King, Jr., Federal Holiday, 2020",Donald J. Trump,Proclamations,Events,
01-21-2017,"National Sanctity of Human Life Day, 2020",Donald J. Trump,Proclamations,Events,
01-23-2020,To Further Facilitate Positive Adjustment to Competition From Imports of Large Residential Washers,Donald J. Trump,Proclamations,Economy,
01-24-2020,Adjusting Imports of Derivative Aluminum Articles and Derivative Steel Articles Into the United States,Donald J. Trump,Proclamations,Economy,
01-24-2020,"National Day of Remembrance of the 75th Anniversary of the Liberation of Auschwitz, 2020",Donald J. Trump,Proclamations,Events,
01-24-2020,"National School Choice Week, 2020",Donald J. Trump,Proclamations,Events,
01-31-2020,Improving Enhanced Vetting Capabilities and Processes for Detecting Attempted Entry Into the United States by Terrorists or Other Public-Safety Threats,Donald J. Trump,Proclamations,National security,
01-31-2020,Suspension of Entry as Immigrants and Nonimmigrants of Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus and Other Appropriate Measures To Address This Risk,Donald J. Trump,Proclamations,Labor,
01-31-2020,"American Heart Month, 2020",Donald J. Trump,Proclamations,Events,
01-31-2020,"National African American History Month, 2020",Donald J. Trump,Proclamations,Events,
02-28-2020,"American Red Cross Month, 2020",Donald J. Trump,Proclamations,Events,
02-28-2020,"Irish-American Heritage Month, 2020",Donald J. Trump,Proclamations,Events,
02-28-2020,"Women's History Month, 2020",Donald J. Trump,Proclamations,Events,
02-28-2020,"National Consumer Protection Week, 2020",Donald J. Trump,Proclamations,Events,
02-29-2020,Suspension of Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus,Donald J. Trump,Proclamations,Labor,
03-11-2020,Suspension of Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus,Donald J. Trump,Proclamations,Labor,
03-13-2020,Declaring a National Emergency Concerning the Novel Coronavirus Disease (COVID-19) Outbreak,Donald J. Trump,Proclamations,National security,
03-13-2020,"National Poison Prevention Week, 2020",Donald J. Trump,Proclamations,Events,
03-14-2020,Suspension of Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus,Donald J. Trump,Proclamations,Labor,
03-14-2020,National Day of Prayer for All Americans Affected by the Coronavirus Pandemic and for Our National Response Efforts,Donald J. Trump,Proclamations,Events,
03-23-2020,"National Agriculture Day, 2020",Donald J. Trump,Proclamations,Events,
03-24-2020,"Greek Independence Day: A National Day of Celebration of Greek and American Democracy, 2020",Donald J. Trump,Proclamations,Events,
03-30-2020,"National Doctors Day, 2020",Donald J. Trump,Proclamations,Events,
03-31-2020,"Cancer Control Month, 2020",Donald J. Trump,Proclamations,Events,
03-31-2020,"National Child Abuse Prevention Month, 2020",Donald J. Trump,Proclamations,Events,
03-31-2020,"National Donate Life Month, 2020",Donald J. Trump,Proclamations,Events,
03-31-2020,"National Sexual Assault Awareness and Prevention Month, 2020",Donald J. Trump,Proclamations,Events,
03-31-2020,"Second Chance Month, 2020",Donald J. Trump,Proclamations,Events,
04-01-2020,"World Autism Awareness Day, 2020",Donald J. Trump,Proclamations,Events,
04-03-2020,"Education and Sharing Day, U.S.A., 2020",Donald J. Trump,Proclamations,Events,
04-08-2020,"National Former Prisoner of War Recognition Day, 2020",Donald J. Trump,Proclamations,Events,
04-13-2020,"Pan American Day and Pan American Week, 2020",Donald J. Trump,Proclamations,Events,
04-17-2020,"National Crime Victims' Rights Week, 2020",Donald J. Trump,Proclamations,Events,
04-17-2020,"National Park Week, 2020",Donald J. Trump,Proclamations,Events,
04-17-2020,"National Volunteer Week, 2020",Donald J. Trump,Proclamations,Events,
04-17-2020,"Days of Remembrance of Victims of the Holocaust, 2020",Donald J. Trump,Proclamations,Events,
04-22-2020,Suspension of Entry of Immigrants Who Present a Risk to the United States Labor Market During the Economic Recovery Following the 2019 Novel Coronavirus Outbreak,Donald J. Trump,Proclamations,Labor,
04-24-2020,"World Intellectual Property Day, 2020",Donald J. Trump,Proclamations,Events,
04-29-2020,"Asian American and Pacific Islander Heritage Month, 2020",Donald J. Trump,Proclamations,Events,
04-29-2020,"Jewish American Heritage Month, 2020",Donald J. Trump,Proclamations,Events,
04-29-2020,"Law Day, U.S.A., 2020",Donald J. Trump,Proclamations,Events,
04-30-2020,"National Foster Care Month, 2020",Donald J. Trump,Proclamations,Events,
04-30-2020,"National Mental Health Awareness Month, 2020",Donald J. Trump,Proclamations,Events,
04-30-2020,"National Physical Fitness and Sports Month, 2020",Donald J. Trump,Proclamations,Events,
04-30-2020,"Older Americans Month, 2020",Donald J. Trump,Proclamations,Events,
04-30-2020,"Loyalty Day, 2020",Donald J. Trump,Proclamations,Events,
05-01-2020,"National Hurricane Preparedness Week, 2020",Donald J. Trump,Proclamations,Events,
05-01-2020,"Public Service Recognition Week, 2020",Donald J. Trump,Proclamations,Events,
05-05-2020,"Missing and Murdered American Indians and Alaska Natives Awareness Day, 2020",Donald J. Trump,Proclamations,Events,
05-06-2020,"National Day of Prayer, 2020",Donald J. Trump,Proclamations,Events,
05-06-2020,"National Nurses Day, 2020",Donald J. Trump,Proclamations,Events,
05-07-2020,"Military Spouse Day, 2020",Donald J. Trump,Proclamations,Events,
05-08-2020,"National Charter Schools Week, 2020",Donald J. Trump,Proclamations,Events,
05-08-2020,"National Defense Transportation Day and National Transportation Week, 2020",Donald J. Trump,Proclamations,Events,
05-08-2020,"Peace Officers Memorial Day and Police Week, 2020",Donald J. Trump,Proclamations,Events,
